ID,Đề mục lớn,User Story,Đề mục nhỏ,Loại Task,Quyền hạn,Ưu tiên,Trạng thái
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,T01.1: Nghiên cứu tài liệu kỹ thuật về chuẩn bảo mật OAuth2/OIDC của VNeID để xác lập quy trình bắt tay (Handshake) .,BE/Research,"ND, CB, LĐ, AD",1,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,"T01.10: Thực hiện kiểm thử tích hợp (Integration Test) kết nối giữa UI, API nội bộ và Mock Server VNeID .",Testing,ND,4,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,"T01.2: Thiết kế giao diện (UI/UX) trang đăng nhập bao gồm nút ""Đăng nhập với VNeID"" và trạng thái chờ chuyển hướng .",FE,ND,1,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,"T01.3: Xây dựng Mock Server giả lập cổng xác thực VNeID để trả về dữ liệu định danh (CCCD, Họ tên) phục vụ phát triển nội bộ .",BE/Mock,AD,1,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,T01.4: Phát triển API Auth Endpoint để tiếp nhận và giải mã Authorization Code/Token từ hệ thống VNeID .,BE,"ND, CB, LĐ, AD",1,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,T01.5: Thiết lập cơ chế lưu trữ Session và JWT (JSON Web Token) an toàn sau khi người dùng xác thực thành công .,BE/Security,"ND, CB, LĐ, AD",1,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,T01.6: Xây dựng logic kiểm tra và ràng buộc: Đảm bảo 1 số CCCD chỉ được liên kết với duy nhất 1 địa chỉ ví Blockchain trên hệ thống .,BE/Logic,"ND, CB, LĐ, AD",1,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,T01.7: Phát triển module xử lý lỗi (Error Handling) trên giao diện khi VNeID từ chối xác thực hoặc hết hạn phiên làm việc .,FE,ND,2,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,T01.8: Cập nhật Schema Database (Prisma/TypeORM) để thêm bảng User lưu trữ mapping giữa VNeID ID và Wallet Address .,BE/DB,AD,1,Chưa bắt đầu
EP01,Tích hợp VNeID,US01: Đăng nhập xác thực danh tính,T01.9: Viết kịch bản kiểm thử (Test Case) cho toàn bộ luồng đăng nhập (bao gồm Happy Path và Sad Path) .,Testing,ND,3,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,"T12.1: Phân tích các mã lỗi trả về từ API VNeID (như sai mã PIN, hết hạn phiên, lỗi hệ thống) để lập bảng ánh xạ thông báo.",BE/Research,AD,3,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,T12.10: Kiểm thử tích hợp (Integration Test) luồng: Gửi request -> Nhận lỗi từ Mock VNeID -> Hiển thị đúng Alert tương ứng trên UI.,Testing,ND,3,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,T12.2: Thiết kế giao diện (UI/UX) cho các thông báo lỗi (Modal/Alert) kèm biểu tượng cảnh báo trực quan.,FE,ND,4,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,T12.3: Phát triển logic Backend để bắt các ngoại lệ (Exception) và trả về mã lỗi cụ thể thay vì lỗi chung chung.,BE,AD,2,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,"T12.4: Lập trình hiển thị nội dung lỗi chi tiết trên Frontend dựa trên mã lỗi từ API (ví dụ: ""Mã PIN không đúng, vui lòng thử lại"").",FE,ND,5,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,"T12.5: Xây dựng nút ""Thử lại"" (Retry) trên giao diện để người dùng nhanh chóng quay lại luồng đăng nhập mà không cần tải lại trang.",FE,ND,5,Chưa bắt đầu
